scenario,replicate,step,susceptible,infected,recovered
baseline,3,64,15,2,163
baseline,3,65,15,2,163
baseline,3,66,15,2,163
baseline,3,67,15,2,163
baseline,3,68,15,2,163
baseline,3,69,15,2,163
baseline,3,70,15,2,163
baseline,3,71,15,1,164
baseline,3,72,15,1,164
baseline,3,73,15,1,164
baseline,3,74,15,1,164
baseline,3,75,15,0,165
baseline,4,0,175,5,0
baseline,4,1,174,6,0
baseline,4,2,170,10,0
baseline,4,3,168,12,0
baseline,4,4,165,15,0
baseline,4,5,162,18,0
baseline,4,6,161,19,0
baseline,4,7,156,24,0
baseline,4,8,152,28,0
baseline,4,9,147,33,0
baseline,4,10,142,38,0
baseline,4,11,136,44,0
baseline,4,12,131,49,0
baseline,4,13,128,52,0
baseline,4,14,120,55,5
baseline,4,15,118,56,6
baseline,4,16,112,58,10
baseline,4,17,105,63,12
baseline,4,18,97,68,15
baseline,4,19,92,70,18
baseline,4,20,86,75,19
baseline,4,21,80,76,24
baseline,4,22,78,74,28
baseline,4,23,74,73,33
baseline,4,24,67,75,38
baseline,4,25,61,75,44
baseline,4,26,60,71,49
baseline,4,27,55,73,52
baseline,4,28,50,70,60
baseline,4,29,50,68,62
baseline,4,30,45,67,68
baseline,4,31,42,63,75
baseline,4,32,42,55,83
baseline,4,33,39,53,88
baseline,4,34,38,48,94
baseline,4,35,32,48,100
baseline,4,36,30,48,102
baseline,4,37,29,45,106
baseline,4,38,26,41,113
baseline,4,39,26,35,119
baseline,4,40,24,36,120
baseline,4,41,23,32,125
baseline,4,42,21,29,130
baseline,4,43,21,29,130
baseline,4,44,21,24,135
baseline,4,45,21,21,138
baseline,4,46,20,22,138
baseline,4,47,20,19,141
baseline,4,48,20,18,142
baseline,4,49,19,13,148
baseline,4,50,19,11,150
baseline,4,51,18,11,151
baseline,4,52,18,8,154
baseline,4,53,16,10,154
baseline,4,54,15,9,156
baseline,4,55,15,8,157
baseline,4,56,15,6,159
baseline,4,57,15,6,159
baseline,4,58,15,6,159
baseline,4,59,15,6,159
baseline,4,60,15,5,160
baseline,4,61,15,5,160
baseline,4,62,15,5,160
baseline,4,63,15,4,161
baseline,4,64,15,4,161
baseline,4,65,15,3,162
baseline,4,66,15,3,162
baseline,4,67,15,1,164
baseline,4,68,15,0,165
baseline,5,0,175,5,0
baseline,5,1,173,7,0
baseline,5,2,172,8,0
baseline,5,3,172,8,0
baseline,5,4,169,11,0
baseline,5,5,169,11,0
baseline,5,6,166,14,0
baseline,5,7,164,16,0
baseline,5,8,163,17,0
baseline,5,9,157,23,0
baseline,5,10,151,29,0
baseline,5,11,147,33,0
baseline,5,12,146,34,0
baseline,5,13,142,38,0
baseline,5,14,138,37,5
baseline,5,15,137,36,7
baseline,5,16,135,37,8
baseline,5,17,131,41,8
baseline,5,18,126,43,11
baseline,5,19,120,49,11
baseline,5,20,115,51,14
baseline,5,21,108,56,16
baseline,5,22,103,60,17
baseline,5,23,96,61,23
baseline,5,24,89,62,29
baseline,5,25,86,61,33
baseline,5,26,83,63,34
baseline,5,27,79,63,38
baseline,5,28,74,64,42
baseline,5,29,70,67,43
baseline,5,30,66,69,45
baseline,5,31,59,72,49
baseline,5,32,56,70,54
baseline,5,33,50,70,60
baseline,5,34,47,68,65
baseline,5,35,43,65,72
baseline,5,36,39,64,77
baseline,5,37,38,58,84
baseline,5,38,38,51,91
baseline,5,39,36,50,94
baseline,5,40,36,47,97
baseline,5,41,35,44,101
baseline,5,42,33,41,106
baseline,5,43,31,39,110
baseline,5,44,30,36,114
baseline,5,45,29,30,121
baseline,5,46,27,29,124
baseline,5,47,26,24,130
baseline,5,48,26,21,133
baseline,5,49,25,18,137
baseline,5,50,24,15,141
baseline,5,51,23,15,142
baseline,5,52,22,16,142
baseline,5,53,21,15,144
baseline,5,54,21,15,144
baseline,5,55,21,14,145
baseline,5,56,21,12,147
baseline,5,57,21,10,149
baseline,5,58,20,10,150
baseline,5,59,19,10,151
baseline,5,60,17,10,153
baseline,5,61,17,9,154
baseline,5,62,17,9,154
baseline,5,63,17,8,155
baseline,5,64,17,7,156
baseline,5,65,17,6,157
baseline,5,66,17,5,158
baseline,5,67,17,4,159
baseline,5,68,17,4,159
baseline,5,69,17,4,159
baseline,5,70,17,4,159
baseline,5,71,17,4,159
baseline,5,72,17,3,160
baseline,5,73,17,2,161
baseline,5,74,17,0,163
moderate_distancing,0,0,175,5,0
moderate_distancing,0,1,175,5,0
moderate_distancing,0,2,174,6,0
moderate_distancing,0,3,172,8,0
moderate_distancing,0,4,169,11,0
moderate_distancing,0,5,168,12,0
moderate_distancing,0,6,166,14,0
moderate_distancing,0,7,166,14,0
moderate_distancing,0,8,164,16,0
moderate_distancing,0,9,162,18,0
moderate_distancing,0,10,161,19,0
moderate_distancing,0,11,160,20,0
moderate_distancing,0,12,155,25,0
moderate_distancing,0,13,153,27,0
moderate_distancing,0,14,150,25,5
moderate_distancing,0,15,146,29,5
moderate_distancing,0,16,144,30,6
moderate_distancing,0,17,140,32,8
moderate_distancing,0,18,134,35,11
moderate_distancing,0,19,132,36,12
moderate_distancing,0,20,132,34,14
moderate_distancing,0,21,129,37,14
moderate_distancing,0,22,125,39,16
moderate_distancing,0,23,122,40,18
moderate_distancing,0,24,118,43,19
moderate_distancing,0,25,109,51,20
moderate_distancing,0,26,108,47,25
moderate_distancing,0,27,103,50,27
moderate_distancing,0,28,99,51,30
moderate_distancing,0,29,93,53,34
moderate_distancing,0,30,89,55,36
moderate_distancing,0,31,81,59,40
moderate_distancing,0,32,76,58,46
moderate_distancing,0,33,74,58,48
moderate_distancing,0,34,68,64,48
moderate_distancing,0,35,65,64,51
moderate_distancing,0,36,61,64,55
moderate_distancing,0,37,60,62,58
moderate_distancing,0,38,58,60,62
moderate_distancing,0,39,58,51,71
moderate_distancing,0,40,56,52,72
moderate_distancing,0,41,54,49,77
moderate_distancing,0,42,54,45,81
moderate_distancing,0,43,51,42,87
moderate_distancing,0,44,49,40,91
moderate_distancing,0,45,48,33,99
moderate_distancing,0,46,46,30,104
moderate_distancing,0,47,45,29,106
moderate_distancing,0,48,44,24,112
moderate_distancing,0,49,43,22,115
moderate_distancing,0,50,42,19,119
moderate_distancing,0,51,42,18,120
moderate_distancing,0,52,42,16,122
moderate_distancing,0,53,42,16,122
moderate_distancing,0,54,42,14,124
moderate_distancing,0,55,42,12,126
moderate_distancing,0,56,42,12,126
moderate_distancing,0,57,42,9,129
moderate_distancing,0,58,42,7,131
moderate_distancing,0,59,42,6,132
moderate_distancing,0,60,42,4,134
moderate_distancing,0,61,42,3,135
moderate_distancing,0,62,42,2,136
moderate_distancing,0,63,42,1,137
moderate_distancing,0,64,42,0,138
moderate_distancing,1,0,175,5,0
moderate_distancing,1,1,174,6,0
moderate_distancing,1,2,174,6,0
moderate_distancing,1,3,173,7,0
moderate_distancing,1,4,172,8,0
moderate_distancing,1,5,171,9,0
moderate_distancing,1,6,168,12,0
moderate_distancing,1,7,166,14,0
moderate_distancing,1,8,164,16,0
moderate_distancing,1,9,163,17,0
moderate_distancing,1,10,163,17,0
moderate_distancing,1,11,161,19,0
moderate_distancing,1,12,158,22,0
moderate_distancing,1,13,156,24,0
moderate_distancing,1,14,154,21,5
moderate_distancing,1,15,151,23,6
moderate_distancing,1,16,146,28,6
moderate_distancing,1,17,146,27,7
moderate_distancing,1,18,142,30,8
moderate_distancing,1,19,138,33,9
moderate_distancing,1,20,131,37,12
moderate_distancing,1,21,128,38,14
moderate_distancing,1,22,126,38,16
moderate_distancing,1,23,123,40,17
moderate_distancing,1,24,120,43,17
moderate_distancing,1,25,115,46,19
moderate_distancing,1,26,111,47,22
moderate_distancing,1,27,109,47,24
moderate_distancing,1,28,106,48,26
moderate_distancing,1,29,103,48,29
moderate_distancing,1,30,103,43,34
moderate_distancing,1,31,101,45,34
moderate_distancing,1,32,96,46,38
moderate_distancing,1,33,91,47,42
moderate_distancing,1,34,88,43,49
moderate_distancing,1,35,86,42,52
moderate_distancing,1,36,82,44,54
moderate_distancing,1,37,79,44,57
moderate_distancing,1,38,77,43,60
moderate_distancing,1,39,73,42,65
moderate_distancing,1,40,71,40,69
moderate_distancing,1,41,71,38,71
moderate_distancing,1,42,70,36,74
moderate_distancing,1,43,69,34,77
moderate_distancing,1,44,69,34,77
moderate_distancing,1,45,63,38,79
moderate_distancing,1,46,59,37,84
moderate_distancing,1,47,57,34,89
moderate_distancing,1,48,55,33,92
moderate_distancing,1,49,52,34,94
moderate_distancing,1,50,51,31,98
moderate_distancing,1,51,50,29,101
moderate_distancing,1,52,49,28,103
moderate_distancing,1,53,49,24,107
moderate_distancing,1,54,47,24,109
moderate_distancing,1,55,47,24,109
moderate_distancing,1,56,47,23,110
moderate_distancing,1,57,47,22,111
moderate_distancing,1,58,46,23,111
moderate_distancing,1,59,46,17,117
moderate_distancing,1,60,45,14,121
moderate_distancing,1,61,45,12,123
moderate_distancing,1,62,45,10,125
moderate_distancing,1,63,45,7,128
moderate_distancing,1,64,45,6,129
moderate_distancing,1,65,45,5,130
moderate_distancing,1,66,45,4,131
moderate_distancing,1,67,45,4,131
moderate_distancing,1,68,45,2,133
moderate_distancing,1,69,45,2,133
moderate_distancing,1,70,45,2,133
moderate_distancing,1,71,45,2,133
moderate_distancing,1,72,45,1,134
moderate_distancing,1,73,45,1,134
moderate_distancing,1,74,45,0,135
moderate_distancing,2,0,175,5,0
moderate_distancing,2,1,174,6,0
moderate_distancing,2,2,172,8,0
moderate_distancing,2,3,171,9,0
moderate_distancing,2,4,170,10,0
moderate_distancing,2,5,170,10,0
moderate_distancing,2,6,169,11,0
moderate_distancing,2,7,168,12,0
moderate_distancing,2,8,168,12,0
moderate_distancing,2,9,168,12,0
moderate_distancing,2,10,164,16,0
moderate_distancing,2,11,162,18,0
moderate_distancing,2,12,161,19,0
moderate_distancing,2,13,158,22,0
moderate_distancing,2,14,156,19,5
moderate_distancing,2,15,153,21,6
moderate_distancing,2,16,151,21,8
moderate_distancing,2,17,150,21,9
moderate_distancing,2,18,148,22,10
moderate_distancing,2,19,147,23,10
moderate_distancing,2,20,145,24,11
moderate_distancing,2,21,145,23,12
moderate_distancing,2,22,145,23,12
moderate_distancing,2,23,144,24,12
moderate_distancing,2,24,142,22,16
moderate_distancing,2,25,138,24,18
moderate_distancing,2,26,136,25,19
moderate_distancing,2,27,135,23,22
moderate_distancing,2,28,134,22,24
moderate_distancing,2,29,134,19,27
moderate_distancing,2,30,132,19,29
moderate_distancing,2,31,130,20,30
moderate_distancing,2,32,126,22,32
moderate_distancing,2,33,126,21,33
moderate_distancing,2,34,121,24,35
moderate_distancing,2,35,118,27,35
moderate_distancing,2,36,114,31,35
moderate_distancing,2,37,111,33,36
moderate_distancing,2,38,108,34,38
moderate_distancing,2,39,108,30,42
moderate_distancing,2,40,107,29,44
moderate_distancing,2,41,106,29,45
moderate_distancing,2,42,101,33,46
moderate_distancing,2,43,99,35,46
moderate_distancing,2,44,98,34,48
moderate_distancing,2,45,98,32,50
moderate_distancing,2,46,98,28,54
moderate_distancing,2,47,94,32,54
moderate_distancing,2,48,94,27,59
moderate_distancing,2,49,92,26,62
moderate_distancing,2,50,91,23,66
moderate_distancing,2,51,87,24,69
moderate_distancing,2,52,84,24,72
moderate_distancing,2,53,82,26,72
moderate_distancing,2,54,79,28,73
moderate_distancing,2,55,78,28,74
moderate_distancing,2,56,75,26,79
moderate_distancing,2,57,75,24,81
moderate_distancing,2,58,73,25,82
moderate_distancing,2,59,73,25,82
moderate_distancing,2,60,73,25,82
moderate_distancing,2,61,72,22,86
moderate_distancing,2,62,72,22,86
moderate_distancing,2,63,67,25,88
moderate_distancing,2,64,65,26,89
moderate_distancing,2,65,62,25,93
moderate_distancing,2,66,61,23,96
moderate_distancing,2,67,60,22,98
moderate_distancing,2,68,60,19,101
moderate_distancing,2,69,58,20,102
moderate_distancing,2,70,57,18,105
moderate_distancing,2,71,57,18,105
moderate_distancing,2,72,57,16,107
moderate_distancing,2,73,57,16,107
moderate_distancing,2,74,57,16,107
moderate_distancing,2,75,57,15,108
moderate_distancing,2,76,57,15,108
moderate_distancing,2,77,57,10,113
moderate_distancing,2,78,56,9,115
moderate_distancing,2,79,55,7,118
moderate_distancing,2,80,55,6,119
moderate_distancing,3,0,175,5,0
moderate_distancing,3,1,174,6,0
moderate_distancing,3,2,172,8,0
moderate_distancing,3,3,169,11,0
moderate_distancing,3,4,164,16,0
moderate_distancing,3,5,159,21,0
moderate_distancing,3,6,157,23,0
moderate_distancing,3,7,156,24,0
moderate_distancing,3,8,152,28,0
moderate_distancing,3,9,151,29,0
moderate_distancing,3,10,149,31,0
moderate_distancing,3,11,147,33,0
moderate_distancing,3,12,143,37,0
moderate_distancing,3,13,141,39,0
moderate_distancing,3,14,138,37,5
moderate_distancing,3,15,136,38,6
moderate_distancing,3,16,133,39,8
moderate_distancing,3,17,130,39,11
moderate_distancing,3,18,127,37,16
moderate_distancing,3,19,125,34,21
moderate_distancing,3,20,122,35,23
moderate_distancing,3,21,121,35,24
moderate_distancing,3,22,117,35,28
moderate_distancing,3,23,112,39,29
moderate_distancing,3,24,109,40,31
moderate_distancing,3,25,106,41,33
moderate_distancing,3,26,103,40,37
moderate_distancing,3,27,99,42,39
moderate_distancing,3,28,95,43,42
moderate_distancing,3,29,94,42,44
moderate_distancing,3,30,89,44,47
moderate_distancing,3,31,80,50,50
moderate_distancing,3,32,79,48,53
moderate_distancing,3,33,79,46,55
moderate_distancing,3,34,78,44,58
moderate_distancing,3,35,77,44,59
moderate_distancing,3,36,76,41,63
moderate_distancing,3,37,76,36,68
moderate_distancing,3,38,76,33,71
moderate_distancing,3,39,75,31,74
moderate_distancing,3,40,72,31,77
moderate_distancing,3,41,71,28,81
moderate_distancing,3,42,69,26,85
moderate_distancing,3,43,68,26,86
moderate_distancing,3,44,67,22,91
moderate_distancing,3,45,66,14,100
moderate_distancing,3,46,64,15,101
moderate_distancing,3,47,64,15,101
moderate_distancing,3,48,64,14,102
moderate_distancing,3,49,64,13,103
moderate_distancing,3,50,63,13,104
moderate_distancing,3,51,63,13,104
moderate_distancing,3,52,62,14,104
moderate_distancing,3,53,61,14,105
moderate_distancing,3,54,60,12,108
moderate_distancing,3,55,60,11,109
moderate_distancing,3,56,60,9,111
moderate_distancing,3,57,58,10,112
moderate_distancing,3,58,58,9,113
moderate_distancing,3,59,58,8,114
moderate_distancing,3,60,58,6,116
moderate_distancing,3,61,57,7,116
moderate_distancing,3,62,57,7,116
moderate_distancing,3,63,57,7,116
moderate_distancing,3,64,57,6,117
moderate_distancing,3,65,57,6,117
moderate_distancing,3,66,57,5,118
moderate_distancing,3,67,57,4,119
moderate_distancing,3,68,57,3,120
moderate_distancing,3,69,56,4,120
moderate_distancing,3,70,56,4,120
moderate_distancing,3,71,55,3,122
moderate_distancing,3,72,55,3,122
moderate_distancing,3,73,55,3,122
moderate_distancing,3,74,55,3,122
moderate_distancing,3,75,55,2,123
moderate_distancing,3,76,55,2,123
moderate_distancing,3,77,55,2,123
moderate_distancing,3,78,55,2,123
moderate_distancing,3,79,55,2,123
moderate_distancing,3,80,55,2,123
moderate_distancing,4,0,175,5,0
moderate_distancing,4,1,175,5,0
moderate_distancing,4,2,172,8,0
moderate_distancing,4,3,170,10,0
moderate_distancing,4,4,170,10,0
moderate_distancing,4,5,167,13,0
moderate_distancing,4,6,163,17,0
moderate_distancing,4,7,161,19,0
moderate_distancing,4,8,157,23,0
moderate_distancing,4,9,156,24,0
moderate_distancing,4,10,155,25,0
moderate_distancing,4,11,154,26,0
moderate_distancing,4,12,153,27,0
moderate_distancing,4,13,152,28,0
moderate_distancing,4,14,147,28,5
moderate_distancing,4,15,145,30,5
moderate_distancing,4,16,142,30,8
moderate_distancing,4,17,141,29,10
moderate_distancing,4,18,137,33,10
moderate_distancing,4,19,133,34,13
moderate_distancing,4,20,133,30,17
moderate_distancing,4,21,131,30,19
moderate_distancing,4,22,129,28,23
moderate_distancing,4,23,123,33,24
moderate_distancing,4,24,119,36,25
moderate_distancing,4,25,112,42,26
moderate_distancing,4,26,104,49,27
moderate_distancing,4,27,103,49,28
moderate_distancing,4,28,101,46,33
moderate_distancing,4,29,98,47,35
moderate_distancing,4,30,93,49,38
moderate_distancing,4,31,93,48,39
moderate_distancing,4,32,92,45,43
moderate_distancing,4,33,90,43,47
moderate_distancing,4,34,87,46,47
moderate_distancing,4,35,83,48,49
moderate_distancing,4,36,80,49,51
moderate_distancing,4,37,76,47,57
moderate_distancing,4,38,74,45,61
moderate_distancing,4,39,72,40,68
moderate_distancing,4,40,72,32,76
moderate_distancing,4,41,69,34,77
moderate_distancing,4,42,65,36,79
moderate_distancing,4,43,63,35,82
moderate_distancing,4,44,60,33,87
moderate_distancing,4,45,59,34,87
moderate_distancing,4,46,58,34,88
moderate_distancing,4,47,56,34,90
moderate_distancing,4,48,56,31,93
moderate_distancing,4,49,55,28,97
moderate_distancing,4,50,54,26,100
moderate_distancing,4,51,53,23,104
moderate_distancing,4,52,53,21,106
moderate_distancing,4,53,52,20,108
moderate_distancing,4,54,52,20,108
moderate_distancing,4,55,51,18,111
moderate_distancing,4,56,51,14,115
moderate_distancing,4,57,51,12,117
moderate_distancing,4,58,51,9,120
moderate_distancing,4,59,51,8,121
moderate_distancing,4,60,50,8,122
moderate_distancing,4,61,50,6,124
moderate_distancing,4,62,50,6,124
moderate_distancing,4,63,50,5,125
moderate_distancing,4,64,50,4,126
moderate_distancing,4,65,49,4,127
moderate_distancing,4,66,49,4,127
moderate_distancing,4,67,49,3,128
moderate_distancing,4,68,49,3,128
moderate_distancing,4,69,49,2,129
moderate_distancing,4,70,49,2,129
moderate_distancing,4,71,49,2,129
moderate_distancing,4,72,49,2,129
moderate_distancing,4,73,49,2,129
moderate_distancing,4,74,49,1,130
moderate_distancing,4,75,49,1,130
moderate_distancing,4,76,49,1,130
moderate_distancing,4,77,49,1,130
moderate_distancing,4,78,49,1,130
moderate_distancing,4,79,49,0,131
moderate_distancing,5,0,175,5,0
moderate_distancing,5,1,175,5,0
moderate_distancing,5,2,175,5,0
moderate_distancing,5,3,175,5,0
moderate_distancing,5,4,175,5,0
moderate_distancing,5,5,175,5,0
moderate_distancing,5,6,174,6,0
moderate_distancing,5,7,173,7,0
moderate_distancing,5,8,173,7,0
moderate_distancing,5,9,173,7,0
moderate_distancing,5,10,172,8,0
moderate_distancing,5,11,171,9,0
moderate_distancing,5,12,170,10,0
moderate_distancing,5,13,168,12,0
moderate_distancing,5,14,166,9,5
moderate_distancing,5,15,164,11,5
moderate_distancing,5,16,162,13,5
moderate_distancing,5,17,160,15,5
moderate_distancing,5,18,159,16,5
moderate_distancing,5,19,157,18,5
moderate_distancing,5,20,156,18,6
moderate_distancing,5,21,154,19,7
moderate_distancing,5,22,154,19,7
moderate_distancing,5,23,153,20,7
moderate_distancing,5,24,152,20,8
moderate_distancing,5,25,151,20,9
moderate_distancing,5,26,148,22,10
moderate_distancing,5,27,147,21,12
moderate_distancing,5,28,143,23,14
moderate_distancing,5,29,139,25,16
moderate_distancing,5,30,136,26,18
moderate_distancing,5,31,133,27,20
moderate_distancing,5,32,131,28,21
moderate_distancing,5,33,128,29,23
moderate_distancing,5,34,127,29,24
moderate_distancing,5,35,127,27,26
moderate_distancing,5,36,125,29,26
moderate_distancing,5,37,119,34,27
moderate_distancing,5,38,118,34,28
moderate_distancing,5,39,117,34,29
moderate_distancing,5,40,115,33,32
moderate_distancing,5,41,112,35,33
moderate_distancing,5,42,109,34,37
moderate_distancing,5,43,105,34,41
moderate_distancing,5,44,102,34,44
moderate_distancing,5,45,98,35,47
moderate_distancing,5,46,96,35,49
moderate_distancing,5,47,94,34,52
moderate_distancing,5,48,93,34,53
moderate_distancing,5,49,90,37,53
moderate_distancing,5,50,89,36,55
moderate_distancing,5,51,88,31,61
moderate_distancing,5,52,85,33,62
moderate_distancing,5,53,85,32,63
moderate_distancing,5,54,82,33,65
